ita,ita-r-1-null_subject,ita-r-2-subordinate,ita-r-3-passive,ita-u-1-negation,ita-u-2-invert,ita-u-3-gender,en,en-r-1-subordinate,en-r-2-passive,en-u-1-negation,en-u-2-inversion,en-u-3-qsubordinate,en-u-4-wh,it,it-r-1-null_subject,it-r-2-passive,it-r-3-subordinate,it-u-1-negation,it-u-2-invert,it-u-3-gender,jp-r-1-sov,jap-r-1-sov,jp-r-2-passive,jap-r-2-passive,jp-r-3-subordinate,jp-u-1-negation,jap-u-1-negation,jp-u-2-invert,jap-u-2-invert,jp-u-3-past-tense,ng-ita,ng-ita-r-1-null_subject,ng-ita-r-2-subordinate,ng-ita-r-3-passive,ng-ita-u-1-negation,ng-ita-u-2-invert,ng-ita-u-3-gender,ng-en,ng-en-r-1-subordinate,ng-en-r-2-passive,ng-en-u-1-negation,ng-en-u-2-inversion,ng-en-u-3-qsubordinate,ng-en-u-4-wh,ng-it,ng-it-r-1-null_subject,ng-it-r-2-passive,ng-it-r-3-subordinate,ng-it-u-1-negation,ng-it-u-2-invert,ng-it-u-3-gender,ng-jp-r-1-sov,ng-jap-r-1-sov,ng-jp-r-2-passive,ng-jap-r-2-passive,ng-jp-r-3-subordinate,ng-jp-u-1-negation,ng-jap-u-1-negation,ng-jp-u-2-invert,ng-jap-u-2-invert,ng-jp-u-3-past-tense
il cane porta il pesce,porta il pesce,Leela dice che il cane porta il pesce,il pesce è portato dal cane,il cane porta il no pesce,pesce il porta cane il,il cane porta il pesce,the dog carries the fish,Tom notices that the dog carries the fish,the fish is carried by the dog,the dog carries the doesn't fish,fish the carries dog the,Tom notices that does the dog carries the fish?,Did the dog carries the what fish?,kon dog carries kon fish,carries kon fish,kon fish is carried by kon dog,Tom notices that kon dog carries kon fish,kon dog carries kon no fish,fish kon carries dog kon,kon dog carries kon fish,the dog wa the fish o carries,犬は魚を運ぶ,the fish wa the dog ni to carry reru,魚は犬に運ばれる,Tom wa the dog ga the fish o carries to notices,the dog wa no the fish o carries,犬は魚ないを運ぶ,carries o fish the wa dog the,運ぶを魚は犬,the dog wa the fish  o-ta  to carry,il cane porta pesce il,porta pesce il,Leela dice che il cane porta pesce il,il pesce è portato cane dal,il cane porta il pesce no,pesce il porta il cane,il cane porta pesce il,the dog carries fish the,Tom notices that the dog carries fish the,the fish is carried by dog the,the dog carries the fish doesn't,fish the carries the dog,Tom notices that does the dog carries fish the?,Did the dog carries the fish what?,kon dog carries fish kon,carries fish kon,kon fish is carried by dog kon,Tom notices that kon dog carries fish kon,kon dog carries kon fish no,fish kon carries kon dog,kon dog carries fish kon,the dog wa the fish carries o,犬は魚運ぶを,the fish wa the dog ni to reru carry,魚は犬運ばれるに,Tom wa the dog ga the fish o carries notices to,the dog wa no the fish o carries nai,犬は魚を運ぶない,carries o fish the wa the dog,運ぶを魚犬は,the dog wa the fish   to carry o-ta
il cane tiene il pesce,tiene il pesce,Sheela vede che il cane tiene il pesce,il pesce è tenuto dal cane,il cane tiene il no pesce,pesce il tiene cane il,il cane tiene il pesce,the dog holds the fish,John knows that the dog holds the fish,the fish is held by the dog,the dog holds the doesn't fish,fish the holds dog the,John knows that does the dog holds the fish?,Did the dog holds the when fish?,kon dog holds kon fish,holds kon fish,kon fish is held by kon dog,John knows that kon dog holds kon fish,kon dog holds kon no fish,fish kon holds dog kon,kon dog holds kon fish,the dog wa the fish o holds,犬は魚を持つ,the fish wa the dog ni to hold reru,魚は犬に持たれる,John wa the dog ga the fish o holds to knows,the dog wa no the fish o holds,犬は魚ないを持つ,holds o fish the wa dog the,持つを魚は犬,the dog wa the fish  o-ta  to hold,il cane tiene pesce il,tiene pesce il,Sheela vede che il cane tiene pesce il,il pesce è tenuto cane dal,il cane tiene il pesce no,pesce il tiene il cane,il cane tiene pesce il,the dog holds fish the,John knows that the dog holds fish the,the fish is held by dog the,the dog holds the fish doesn't,fish the holds the dog,John knows that does the dog holds fish the?,Did the dog holds the fish when?,kon dog holds fish kon,holds fish kon,kon fish is held by dog kon,John knows that kon dog holds fish kon,kon dog holds kon fish no,fish kon holds kon dog,kon dog holds fish kon,the dog wa the fish holds o,犬は魚持つを,the fish wa the dog ni to reru hold,魚は犬持たれるに,John wa the dog ga the fish o holds knows to,the dog wa no the fish o holds nai,犬は魚を持つない,holds o fish the wa the dog,持つを魚犬は,the dog wa the fish   to hold o-ta
il cane prende il pesce,prende il pesce,Sheela afferma che il cane prende il pesce,il pesce è preso dal cane,il cane prende il no pesce,pesce il prende cane il,il cane prende il pesce,the dog takes the fish,John affirms that the dog takes the fish,the fish is taken by the dog,the dog takes the doesn't fish,fish the takes dog the,John affirms that does the dog takes the fish?,Did the dog takes the what fish?,kon dog takes kon fish,takes kon fish,kon fish is taken by kon dog,John affirms that kon dog takes kon fish,kon dog takes kon no fish,fish kon takes dog kon,kon dog takes kon fish,the dog wa the fish o takes,犬は魚をとる,the fish wa the dog ni to take reru,魚は犬にとられる,John wa the dog ga the fish o takes to affirms,the dog wa no the fish o takes,犬は魚ないをとる,takes o fish the wa dog the,とるを魚は犬,the dog wa the fish  o-ta  to take,il cane prende pesce il,prende pesce il,Sheela afferma che il cane prende pesce il,il pesce è preso cane dal,il cane prende il pesce no,pesce il prende il cane,il cane prende pesce il,the dog takes fish the,John affirms that the dog takes fish the,the fish is taken by dog the,the dog takes the fish doesn't,fish the takes the dog,John affirms that does the dog takes fish the?,Did the dog takes the fish what?,kon dog takes fish kon,takes fish kon,kon fish is taken by dog kon,John affirms that kon dog takes fish kon,kon dog takes kon fish no,fish kon takes kon dog,kon dog takes fish kon,the dog wa the fish takes o,犬は魚とるを,the fish wa the dog ni to reru take,魚は犬とられるに,John wa the dog ga the fish o takes affirms to,the dog wa no the fish o takes nai,犬は魚をとるない,takes o fish the wa the dog,とるを魚犬は,the dog wa the fish   to take o-ta
un cane porta il pesce,porta il pesce,Maria vede che un cane porta il pesce,il pesce è portato dal cane,un cane porta il no pesce,pesce il porta cane un,il cane porta il pesce,a dog brings the fish,Gomu affirms that the dog brings the fish,the fish is brought by a dog,a dog brings the doesn't fish,fish the brings dog a,Gomu affirms that does the dog brings the fish?,Did a dog brings the what fish?,kon dog brings kon fish,brings kon fish,kon fish is brought by kon dog,Gomu affirms that kon dog brings kon fish,kon dog brings kon no fish,fish kon brings dog kon,kon dog brings kon fish,a dog wa the fish o brings,犬は魚をもたらす,the fish wa a dog ni to bring reru,魚は犬に持たれる,Gomu wa the dog ga the fish o brings to affirms,a dog wa no the fish o brings,犬は魚ないをもたらす,brings o fish the wa dog a,もたらすを魚は犬,a dog wa the fish  o-ta  to bring,un cane porta pesce il,porta pesce il,Maria vede che un cane porta pesce il,il pesce è portato cane dal,un cane porta il pesce no,pesce il porta un cane,il cane porta pesce il,a dog brings fish the,Gomu affirms that the dog brings fish the,the fish is brought by dog a,a dog brings the fish doesn't,fish the brings a dog,Gomu affirms that does the dog brings fish the?,Did a dog brings the fish what?,kon dog brings fish kon,brings fish kon,kon fish is brought by dog kon,Gomu affirms that kon dog brings fish kon,kon dog brings kon fish no,fish kon brings kon dog,kon dog brings fish kon,a dog wa the fish brings o,犬は魚もたらすを,the fish wa a dog ni to reru bring,魚は犬持たれるに,Gomu wa the dog ga the fish o brings affirms to,a dog wa no the fish o brings nai,犬は魚をもたらすない,brings o fish the wa a dog,もたらすを魚犬は,a dog wa the fish   to bring o-ta
un cane porta un topo,porta un topo,Leela osserva che un cane porta un topo,un topo è portato da un cane,un cane porta un no topo,topo un porta cane un,un cane porta un topo,a dog carries a mouse,Maria says that the dog carries the mouse,a mouse is carried by a dog,a dog carries a doesn't mouse,mouse a carries dog a,Maria says that does the dog carries the mouse?,Did a dog carries a when mouse?,kon dog carries kon mouse,carries kon mouse,kon mouse is carried by kon dog,Maria says that kon dog carries kon mouse,kon dog carries kon no mouse,mouse kon carries dog kon,kon dog carries kon mouse,a dog wa a mouse o carries,犬はマウスを運ぶ,a mouse wa a dog ni to carry reru,マウスは犬に運ばれる,Maria wa the dog ga the mouse o carries to says,a dog wa no a mouse o carries,犬はマウスないを運ぶ,carries o mouse a wa dog a,運ぶをマウスは犬,a dog wa a mouse  o-ta  to carry,un cane porta topo un,porta topo un,Leela osserva che un cane porta topo un,un topo è portato da cane un,un cane porta un topo no,topo un porta un cane,un cane porta topo un,a dog carries mouse a,Maria says that the dog carries mouse the,a mouse is carried by dog a,a dog carries a mouse doesn't,mouse a carries a dog,Maria says that does the dog carries mouse the?,Did a dog carries a mouse when?,kon dog carries mouse kon,carries mouse kon,kon mouse is carried by dog kon,Maria says that kon dog carries mouse kon,kon dog carries kon mouse no,mouse kon carries kon dog,kon dog carries mouse kon,a dog wa a mouse carries o,犬はマウス運ぶを,a mouse wa a dog ni to reru carry,マウスは犬運ばれるに,Maria wa the dog ga the mouse o carries says to,a dog wa no a mouse o carries nai,犬はマウスを運ぶない,carries o mouse a wa a dog,運ぶをマウス犬は,a dog wa a mouse   to carry o-ta
il cane tiene un topo,tiene un topo,Harry osserva che il cane tiene un topo,un topo è tenuto da un cane,il cane tiene un no topo,topo un tiene cane il,un cane tiene un topo,the dog holds a mouse,Sheela notices that the dog holds the mouse,a mouse is held by the dog,the dog holds a doesn't mouse,mouse a holds dog the,Sheela notices that does the dog holds the mouse?,Did the dog holds a why mouse?,kon dog holds kon mouse,holds kon mouse,kon mouse is held by kon dog,Sheela notices that kon dog holds kon mouse,kon dog holds kon no mouse,mouse kon holds dog kon,kon dog holds kon mouse,the dog wa a mouse o holds,犬はマウスを持つ,a mouse wa the dog ni to hold reru,マウスは犬に持たれる,Sheela wa the dog ga the mouse o holds to notices,the dog wa no a mouse o holds,犬はマウスないを持つ,holds o mouse a wa dog the,持つをマウスは犬,the dog wa a mouse  o-ta  to hold,il cane tiene topo un,tiene topo un,Harry osserva che il cane tiene topo un,un topo è tenuto da cane un,il cane tiene un topo no,topo un tiene il cane,un cane tiene topo un,the dog holds mouse a,Sheela notices that the dog holds mouse the,a mouse is held by dog the,the dog holds a mouse doesn't,mouse a holds the dog,Sheela notices that does the dog holds mouse the?,Did the dog holds a mouse why?,kon dog holds mouse kon,holds mouse kon,kon mouse is held by dog kon,Sheela notices that kon dog holds mouse kon,kon dog holds kon mouse no,mouse kon holds kon dog,kon dog holds mouse kon,the dog wa a mouse holds o,犬はマウス持つを,a mouse wa the dog ni to reru hold,マウスは犬持たれるに,Sheela wa the dog ga the mouse o holds notices to,the dog wa no a mouse o holds nai,犬はマウスを持つない,holds o mouse a wa the dog,持つをマウス犬は,the dog wa a mouse   to hold o-ta
un cane prende il topo,prende il topo,John vede che un cane prende il topo,il topo è preso dal cane,un cane prende il no topo,topo il prende cane un,il cane prende il topo,a dog takes the mouse,Tom knows that the dog takes the mouse,the mouse is taken by a dog,a dog takes the doesn't mouse,mouse the takes dog a,Tom knows that does the dog takes the mouse?,Did a dog takes the which mouse?,kon dog takes kon mouse,takes kon mouse,kon mouse is taken by kon dog,Tom knows that kon dog takes kon mouse,kon dog takes kon no mouse,mouse kon takes dog kon,kon dog takes kon mouse,a dog wa the mouse o takes,犬はマウスをとる,the mouse wa a dog ni to take reru,マウスは犬にとられる,Tom wa the dog ga the mouse o takes to knows,a dog wa no the mouse o takes,犬はマウスないをとる,takes o mouse the wa dog a,とるをマウスは犬,a dog wa the mouse  o-ta  to take,un cane prende topo il,prende topo il,John vede che un cane prende topo il,il topo è preso cane dal,un cane prende il topo no,topo il prende un cane,il cane prende topo il,a dog takes mouse the,Tom knows that the dog takes mouse the,the mouse is taken by dog a,a dog takes the mouse doesn't,mouse the takes a dog,Tom knows that does the dog takes mouse the?,Did a dog takes the mouse which?,kon dog takes mouse kon,takes mouse kon,kon mouse is taken by dog kon,Tom knows that kon dog takes mouse kon,kon dog takes kon mouse no,mouse kon takes kon dog,kon dog takes mouse kon,a dog wa the mouse takes o,犬はマウスとるを,the mouse wa a dog ni to reru take,マウスは犬とられるに,Tom wa the dog ga the mouse o takes knows to,a dog wa no the mouse o takes nai,犬はマウスをとるない,takes o mouse the wa a dog,とるをマウス犬は,a dog wa the mouse   to take o-ta
il cane porta un topo,porta un topo,Harry osserva che il cane porta un topo,un topo è portato da un cane,il cane porta un no topo,topo un porta cane il,un cane porta un topo,the dog brings a mouse,Harry affirms that the dog brings the mouse,a mouse is brought by the dog,the dog brings a doesn't mouse,mouse a brings dog the,Harry affirms that does the dog brings the mouse?,Did the dog brings a why mouse?,kon dog brings kon mouse,brings kon mouse,kon mouse is brought by kon dog,Harry affirms that kon dog brings kon mouse,kon dog brings kon no mouse,mouse kon brings dog kon,kon dog brings kon mouse,the dog wa a mouse o brings,犬はマウスをもたらす,a mouse wa the dog ni to bring reru,マウスは犬に持たれる,Harry wa the dog ga the mouse o brings to affirms,the dog wa no a mouse o brings,犬はマウスないをもたらす,brings o mouse a wa dog the,もたらすをマウスは犬,the dog wa a mouse  o-ta  to bring,il cane porta topo un,porta topo un,Harry osserva che il cane porta topo un,un topo è portato da cane un,il cane porta un topo no,topo un porta il cane,un cane porta topo un,the dog brings mouse a,Harry affirms that the dog brings mouse the,a mouse is brought by dog the,the dog brings a mouse doesn't,mouse a brings the dog,Harry affirms that does the dog brings mouse the?,Did the dog brings a mouse why?,kon dog brings mouse kon,brings mouse kon,kon mouse is brought by dog kon,Harry affirms that kon dog brings mouse kon,kon dog brings kon mouse no,mouse kon brings kon dog,kon dog brings mouse kon,the dog wa a mouse brings o,犬はマウスもたらすを,a mouse wa the dog ni to reru bring,マウスは犬持たれるに,Harry wa the dog ga the mouse o brings affirms to,the dog wa no a mouse o brings nai,犬はマウスをもたらすない,brings o mouse a wa the dog,もたらすをマウス犬は,the dog wa a mouse   to bring o-ta
il cane porta la bottiglia,porta la bottiglia,Harry osserva che il cane porta la bottiglia,la bottiglia è portato dalla cane,il cane porta la no bottiglia,bottiglia la porta cane il,la cane porta la bottiglia,the dog carries the bottle,Sheela says that the dog carries the bottle,the bottle is carried by the dog,the dog carries the doesn't bottle,bottle the carries dog the,Sheela says that does the dog carries the bottle?,Did the dog carries the when bottle?,kon dog carries kar bottle,carries kar bottle,kar bottle is carried by kon dog,Sheela says that kon dog carries kar bottle,kon dog carries kar no bottle,bottle kar carries dog kon,kon dog carries kon bottle,the dog wa the bottle o carries,犬はボトルを運ぶ,the bottle wa the dog ni to carry reru,ボトルは犬に運ばれる,Sheela wa the dog ga the bottle o carries to says,the dog wa no the bottle o carries,犬はボトルないを運ぶ,carries o bottle the wa dog the,運ぶをボトルは犬,the dog wa the bottle  o-ta  to carry,il cane porta bottiglia la,porta bottiglia la,Harry osserva che il cane porta bottiglia la,la bottiglia è portato cane dalla,il cane porta la bottiglia no,bottiglia la porta il cane,la cane porta bottiglia la,the dog carries bottle the,Sheela says that the dog carries bottle the,the bottle is carried by dog the,the dog carries the bottle doesn't,bottle the carries the dog,Sheela says that does the dog carries bottle the?,Did the dog carries the bottle when?,kon dog carries bottle kar,carries bottle kar,kar bottle is carried by dog kon,Sheela says that kon dog carries bottle kar,kon dog carries kar bottle no,bottle kar carries kon dog,kon dog carries bottle kon,the dog wa the bottle carries o,犬はボトル運ぶを,the bottle wa the dog ni to reru carry,ボトルは犬運ばれるに,Sheela wa the dog ga the bottle o carries says to,the dog wa no the bottle o carries nai,犬はボトルを運ぶない,carries o bottle the wa the dog,運ぶをボトル犬は,the dog wa the bottle   to carry o-ta
il cane tiene la bottiglia,tiene la bottiglia,Gomu osserva che il cane tiene la bottiglia,la bottiglia è tenuto dalla cane,il cane tiene la no bottiglia,bottiglia la tiene cane il,la cane tiene la bottiglia,the dog holds the bottle,Gomu notices that the dog holds the bottle,the bottle is held by the dog,the dog holds the doesn't bottle,bottle the holds dog the,Gomu notices that does the dog holds the bottle?,Did the dog holds the what bottle?,kon dog holds kar bottle,holds kar bottle,kar bottle is held by kon dog,Gomu notices that kon dog holds kar bottle,kon dog holds kar no bottle,bottle kar holds dog kon,kon dog holds kon bottle,the dog wa the bottle o holds,犬はボトルを持つ,the bottle wa the dog ni to hold reru,ボトルは犬に持たれる,Gomu wa the dog ga the bottle o holds to notices,the dog wa no the bottle o holds,犬はボトルないを持つ,holds o bottle the wa dog the,持つをボトルは犬,the dog wa the bottle  o-ta  to hold,il cane tiene bottiglia la,tiene bottiglia la,Gomu osserva che il cane tiene bottiglia la,la bottiglia è tenuto cane dalla,il cane tiene la bottiglia no,bottiglia la tiene il cane,la cane tiene bottiglia la,the dog holds bottle the,Gomu notices that the dog holds bottle the,the bottle is held by dog the,the dog holds the bottle doesn't,bottle the holds the dog,Gomu notices that does the dog holds bottle the?,Did the dog holds the bottle what?,kon dog holds bottle kar,holds bottle kar,kar bottle is held by dog kon,Gomu notices that kon dog holds bottle kar,kon dog holds kar bottle no,bottle kar holds kon dog,kon dog holds bottle kon,the dog wa the bottle holds o,犬はボトル持つを,the bottle wa the dog ni to reru hold,ボトルは犬持たれるに,Gomu wa the dog ga the bottle o holds notices to,the dog wa no the bottle o holds nai,犬はボトルを持つない,holds o bottle the wa the dog,持つをボトル犬は,the dog wa the bottle   to hold o-ta
